column_name,column_role,available_as_of,source_or_formula,allowed_for_future_feature_analysis,reason
tail_training_eligible,data_quality,POST_D3,copied unchanged from source v0.2.2 column tail_training_eligible,False,"溯源/质量元数据, 不作为特征"
sample_role_v021,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column sample_role_v021,False,"溯源/质量元数据, 不作为特征"
label_d2_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column label_d2_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
label_d3_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column label_d3_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
daily_label_source_d2,data_quality,POST_D3,copied unchanged from source v0.2.2 column daily_label_source_d2,False,"溯源/质量元数据, 不作为特征"
daily_label_source_d3,data_quality,POST_D3,copied unchanged from source v0.2.2 column daily_label_source_d3,False,"溯源/质量元数据, 不作为特征"
daily_label_cache_path,data_quality,BUILD_TIME,copied unchanged from source v0.2.2 column daily_label_cache_path,False,"溯源/质量元数据, 不作为特征"
daily_label_cache_mtime,data_quality,BUILD_TIME,copied unchanged from source v0.2.2 column daily_label_cache_mtime,False,"溯源/质量元数据, 不作为特征"
daily_label_cache_sha256,data_quality,BUILD_TIME,copied unchanged from source v0.2.2 column daily_label_cache_sha256,False,"溯源/质量元数据, 不作为特征"
sample_role_v022,provenance,D1_CLOSE,copied unchanged from source v0.2.2 column sample_role_v022,False,"溯源/质量元数据, 不作为特征"
d1_break_date,identifier,D1_CLOSE,copied unchanged from source v0.2.2 column d1_break_date,False,"身份或绝对日期字段, 不作为特征"
d1_signal_date,identifier,D1_CLOSE,copied unchanged from source v0.2.2 column d1_signal_date,False,"身份或绝对日期字段, 不作为特征"
d0_last_board_date,identifier,D1_CLOSE,copied unchanged from source v0.2.2 column d0_last_board_date,False,"身份或绝对日期字段, 不作为特征"
d2_entry_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d2_entry_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
d3_outcome_date,outcome_audit,POST_D3,copied unchanged from source v0.2.2 column d3_outcome_date,False,"包含 D2/D3 未来信息, 不得作为 D1 特征"
