feature_name,found_in,historical_role,semantic_group,raw_or_derived,raw_dependencies,formula_or_definition,lookback,available_as_of,source_system,current_may_coverage,current_june_coverage,combined_coverage,structural_missing_possible,future_leakage,model_output_leakage,target_lineage_leakage,exact_duplicate_group,semantic_duplicate_group,pairwise_v1_decision,decision_reason
break_high,workflow v004c candidate inventory,,,,,ED02: 与 d1_high 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED02: 与 d1_high 精确重复
break_high_to_close_drawdown,workflow v004c candidate inventory,,,,,ED06: 与 d1_high_to_close_drawdown_raw 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED06: 与 d1_high_to_close_drawdown_raw 精确重复
break_intraday_range,workflow v004c candidate inventory,,,,,ED05: 与 d1_intraday_range 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED05: 与 d1_intraday_range 精确重复
break_low,workflow v004c candidate inventory,,,,,ED03: 与 d1_low 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED03: 与 d1_low 精确重复
break_open,workflow v004c candidate inventory,,,,,ED01: 与 d1_open 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED01: 与 d1_open 精确重复
break_prev_close,workflow v004c candidate inventory,,,,,"绝对价格锚点, DERIVE_ONLY; 派生后使用",,,,,,,,0,0,0,,,AUDIT_ONLY,"绝对价格锚点, DERIVE_ONLY; 派生后使用"
break_turnover_ratio,workflow v004c candidate inventory,,,,,"100% 缺失 (日线缓存无 turnover_rate), 字段不可用",,,,,,,,0,0,0,,,EXCLUDE_ALL_MISSING,"100% 缺失 (日线缓存无 turnover_rate), 字段不可用"
break_volume,workflow v004c candidate inventory,,,,,ED08: 与 d1_volume 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED08: 与 d1_volume 精确重复
break_volume_abnormality,workflow v004c candidate inventory,,,,,|log(volume_ratio)|: 同机制再表达,,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,|log(volume_ratio)|: 同机制再表达
code,workflow v004c candidate inventory,,,,,股票代码,,,,,,,,0,0,0,,,IDENTIFIER,股票代码
d1_amount,workflow v004c candidate inventory,,,,,绝对额 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对额 DERIVE_ONLY
d1_close,workflow v004c candidate inventory,,,,,绝对价格 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_close_to_ma5_bucket,workflow v004c candidate inventory,,,,,"预分桶表达, 源码 d1_close_to_ma5_raw 已入契约",,,,,,,,0,0,0,,,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"预分桶表达, 源码 d1_close_to_ma5_raw 已入契约"
d1_down_bar_volume_ratio,workflow v004c candidate inventory,,,,,ED12: 与 down_bar_volume_ratio 精确重复,,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED12: 与 down_bar_volume_ratio 精确重复
d1_high,workflow v004c candidate inventory,,,,,绝对价格 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_low,workflow v004c candidate inventory,,,,,绝对价格 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_ma10,workflow v004c candidate inventory,,,,,绝对 MA10 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对 MA10 DERIVE_ONLY
d1_ma20,workflow v004c candidate inventory,,,,,绝对 MA20 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对 MA20 DERIVE_ONLY
d1_ma5,workflow v004c candidate inventory,,,,,绝对 MA5 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对 MA5 DERIVE_ONLY
d1_open,workflow v004c candidate inventory,,,,,绝对价格 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对价格 DERIVE_ONLY
d1_open_to_close_bucket,workflow v004c candidate inventory,,,,,"预分桶表达, 源码 d1_open_to_close_return_raw 已入契约",,,,,,,,0,0,0,,,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"预分桶表达, 源码 d1_open_to_close_return_raw 已入契约"
d1_to_d0_amount_ratio,workflow v004c candidate inventory,,,,,"提案未实现; 且 volume 版已覆盖, 金额版数据源不可得",,,,,,,,0,0,0,,,PENDING_EVIDENCE,"提案未实现; 且 volume 版已覆盖, 金额版数据源不可得"
d1_to_d0_volume_ratio,workflow v004c candidate inventory,,,,,提案未实现; break_volume_ratio_vs_board_days 已覆盖,,,,,,,,0,0,0,,,PENDING_EVIDENCE,提案未实现; break_volume_ratio_vs_board_days 已覆盖
d1_volume,workflow v004c candidate inventory,,,,,绝对量 DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对量 DERIVE_ONLY
d1_vwap,workflow v004c candidate inventory,,,,,绝对 VWAP DERIVE_ONLY,,,,,,,,0,0,0,,,AUDIT_ONLY,绝对 VWAP DERIVE_ONLY
d1_vwap_to_close_gap,workflow v004c candidate inventory,,,,,"(vwap-close)/close 与 close_to_vwap 反向 (spearman -1), 只留一种",,,,,,,,0,0,0,,,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,"(vwap-close)/close 与 close_to_vwap 反向 (spearman -1), 只留一种"
d2_open_daily,workflow v004c candidate inventory,,,,,"D2 开盘, 未来信息, 标签序列",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"D2 开盘, 未来信息, 标签序列"
d3_close_daily,workflow v004c candidate inventory,,,,,"D3 收盘, 未来信息, 标签序列",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"D3 收盘, 未来信息, 标签序列"
d3_high_daily,workflow v004c candidate inventory,,,,,"D3 最高, 未来信息, 标签序列",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"D3 最高, 未来信息, 标签序列"
daily_d2open_to_d3close_return,workflow v004c candidate inventory,,,,,"标签收益, 未来信息",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"标签收益, 未来信息"
daily_d2open_to_d3high_return,workflow v004c candidate inventory,,,,,"标签收益, 未来信息",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"标签收益, 未来信息"
daily_label_complete,workflow v004c candidate inventory,,,,,标签质量审计,,,,,,,,0,0,0,,,AUDIT_ONLY,标签质量审计
daily_label_quality_ok,workflow v004c candidate inventory,,,,,标签质量审计,,,,,,,,0,0,0,,,AUDIT_ONLY,标签质量审计
deprecated_d1_reclaimed_ma10_v01,workflow v004c candidate inventory,,,,,"ED11: 与 d1_close_above_ma10 精确重复, 命名废弃",,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,"ED11: 与 d1_close_above_ma10 精确重复, 命名废弃"
deprecated_d1_reclaimed_ma5_v01,workflow v004c candidate inventory,,,,,"ED10: 与 d1_close_above_ma5 精确重复, 命名废弃",,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,"ED10: 与 d1_close_above_ma5 精确重复, 命名废弃"
event_id,workflow v004c candidate inventory,,,,,事件身份,,,,,,,,0,0,0,,,IDENTIFIER,事件身份
is_v002_scorable,workflow v004c candidate inventory,,,,,v002 模型可打分标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v002 模型可打分标记
is_v002_top10,workflow v004c candidate inventory,,,,,v002 Top10 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v002 Top10 标记
is_v002_top15,workflow v004c candidate inventory,,,,,v002 Top15 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v002 Top15 标记
is_v002_top3,workflow v004c candidate inventory,,,,,v002 Top3 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v002 Top3 标记
is_v004a_scorable,workflow v004c candidate inventory,,,,,v004a 模型可打分标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a 模型可打分标记
is_v004a_top10,workflow v004c candidate inventory,,,,,v004a Top10 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a Top10 标记
is_v004a_top15,workflow v004c candidate inventory,,,,,v004a Top15 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a Top15 标记
is_v004a_top3,workflow v004c candidate inventory,,,,,v004a Top3 标记,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a Top3 标记
label_d2_date,workflow v004c candidate inventory,,,,,标签审计元数据,,,,,,,,0,0,0,,,AUDIT_ONLY,标签审计元数据
label_d3_date,workflow v004c candidate inventory,,,,,标签审计元数据,,,,,,,,0,0,0,,,AUDIT_ONLY,标签审计元数据
m0_probability,workflow v004c candidate inventory,,,,,logistic walkforward 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m1_probability,workflow v004c candidate inventory,,,,,logistic walkforward 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m1_rank_daily,workflow v004c candidate inventory,,,,,logistic walkforward 模型排名,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型排名
m2_probability,workflow v004c candidate inventory,,,,,logistic walkforward 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型概率
m2_rank_daily,workflow v004c candidate inventory,,,,,logistic walkforward 模型排名,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,logistic walkforward 模型排名
ma5_ma10_spread,workflow v004c candidate inventory,,,,,"提案未实现; 可由 a/b 精确确定, 非新机制",,,,,,,,0,0,0,,,PENDING_EVIDENCE,"提案未实现; 可由 a/b 精确确定, 非新机制"
ma5_overheat_10,workflow v004c candidate inventory,,,,,close_to_ma5>=0.10 二元化: 确定性阈值变换,,,,,,,,0,0,0,,,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,close_to_ma5>=0.10 二元化: 确定性阈值变换
overrepair,workflow v004c candidate inventory,,,,,"max(open_to_close-0.03,0): 同机制再表达, 非新机制",,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,"max(open_to_close-0.03,0): 同机制再表达, 非新机制"
profit_chip_ratio,workflow v004c candidate inventory,,,,,1 - volume_above_d1_close_ratio: 精确互补,,,,,,,,0,0,0,,,EXCLUDE_REDUNDANT_DETERMINISTIC_TRANSFORM,1 - volume_above_d1_close_ratio: 精确互补
profit_pressure,workflow v004c candidate inventory,,,,,"三字段交互项: 非新机制, 留待人工评估",,,,,,,,0,0,0,,,EXCLUDE_MANUAL_COMPOSITE,"三字段交互项: 非新机制, 留待人工评估"
r0_probability,workflow v004c candidate inventory,,,,,repair-state 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r1_probability,workflow v004c candidate inventory,,,,,repair-state 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r1_rank,workflow v004c candidate inventory,,,,,repair-state 模型排名,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,repair-state 模型排名
r2_probability,workflow v004c candidate inventory,,,,,repair-state 模型概率,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,repair-state 模型概率
r2_rank,workflow v004c candidate inventory,,,,,repair-state 模型排名,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,repair-state 模型排名
recognition_score,workflow v004c candidate inventory,,,,,"旧模型/辨识度综合评分, 禁止作为 v004c 输入",,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,"旧模型/辨识度综合评分, 禁止作为 v004c 输入"
signal_date,workflow v004c candidate inventory,,,,,"GROUP_KEY, 非 FEATURE",,,,,,,,0,0,0,,,IDENTIFIER,"GROUP_KEY, 非 FEATURE"
source_window,workflow v004c candidate inventory,,,,,"may/june 来源窗口, 非特征",,,,,,,,0,0,0,,,AUDIT_ONLY,"may/june 来源窗口, 非特征"
tail_loss_daily_5pct,workflow v004c candidate inventory,,,,,"tail-loss 标签, 未来信息",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"tail-loss 标签, 未来信息"
target7_daily_d2open_d3high,workflow v004c candidate inventory,,,,,"Target7 标签, 未来信息",,D1_CLOSE,,,,,,0,0,0,,,LABEL_ONLY,"Target7 标签, 未来信息"
v002_rank,workflow v004c candidate inventory,,,,,v002 模型排名输出,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v002 模型排名输出
v004a_probability,workflow v004c candidate inventory,,,,,v004a 模型概率输出,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a 模型概率输出
v004a_rank,workflow v004c candidate inventory,,,,,v004a 模型排名输出,,,,,,,,0,0,0,,,EXCLUDE_MODEL_OUTPUT,v004a 模型排名输出
v004a_score_source,workflow v004c candidate inventory,,,,,v004a 分数来源审计,,,,,,,,0,0,0,,,AUDIT_ONLY,v004a 分数来源审计
volume_above_break_close_ratio,workflow v004c candidate inventory,,,,,ED13: 与 volume_above_d1_close_ratio 精确重复 (signal==break),,,,,,,,0,0,0,,,EXCLUDE_EXACT_DUPLICATE_ALIAS,ED13: 与 volume_above_d1_close_ratio 精确重复 (signal==break)
